method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
IVT,median,vel_30,2.758921978860021,149.86920970349004,66.46806933997296,-0.019417475728153666,-0.48131485499865945,-6.534580210925521
IVT,median,vel_40,2.93207901984936,151.75627362374183,65.7909764238063,-1.3932038834951446,-7.424587660268461,-13.184907266401902
IVT,median,vel_25,3.140712923828426,150.51677190599042,66.78592735907576,0.8834951456310683,4.023643756091009,-1.2767259134934752
IVT,median,vel_45,3.1553622105253867,151.7216988146495,66.22032440477584,-1.9077669902912606,-9.772777639508497,-15.70038432965575
IVT,median,vel_50,3.4387850642991067,151.93161601516377,67.12916743904927,-2.4368932038834927,-10.8677315825731,-17.191075937975366
IVT,median,vel_20,3.6623245840890872,150.73069066302386,67.29228820348439,2.014563106796116,8.076533975036394,5.073649641277874
IVT,median,vel_55,3.749433614185543,152.00057568352497,59.483017732075496,-2.825242718446601,-12.168813221984063,-16.428718560858226
IVT,median,vel_60,4.010907458515677,152.02829452101972,60.468378345540565,-3.1844660194174783,-13.245728756387578,-17.201873339253726
IVT,median,vel_65,4.325359853709016,152.75500253056657,61.54251304139602,-3.524271844660196,-14.364898264255993,-17.981352529313913
IVT,median,vel_70,4.502426530238357,153.5309454360309,62.65439810850463,-3.718446601941746,-15.356563041925046,-18.52360433197805
IVT,raw,vel_70,3.4267650118737265,151.85977570453696,64.72284810873809,-0.11165048543689436,-10.477575987019287,-13.164138579493493
IVT,raw,vel_65,3.5478695918503957,151.89832071665134,64.68581605796774,0.6165048543689305,-8.482289373640889,-10.62474300012609
IVT,raw,vel_60,3.802783855091386,151.59147530062924,64.3345600860787,1.3543689320388363,-6.527762710648395,-8.62177959725358
IVT,raw,vel_55,4.251784319895899,151.65102928126907,64.92532574702308,2.0388349514563093,-3.2449020557209525,-5.554745684481004
IVT,raw,vel_50,4.730606808507658,152.21729820539048,66.473360303889,2.766990291262136,0.8960143254481057,-0.6357858972936329
IVT,raw,vel_45,5.3566943871460095,152.76190493989424,66.84162610414442,3.5970873786407767,4.5709776697067195,3.4286794299072687
IVT,raw,vel_20,5.598630206950157,178.81980073867365,105.10136909412077,4.2961165048543695,69.730345915108,63.12226576769587
IVT,raw,vel_40,5.731449603992586,153.54965344701216,66.90354440340882,4.3058252427184485,9.081889191292156,7.610335391867164
IVT,raw,vel_35,6.0072771403337715,154.07813000866065,68.7934519146251,4.805825242718448,16.724294613958033,14.690018564989611
